 tablespace |                    objects                     
            | pg_stat_wal_receiver                          +
            | pg_stat_xact_all_tables                       +
            | pg_stat_xact_sys_tables                       +
            | pg_stat_xact_user_functions                   +
            | pg_stat_xact_user_tables                      +
            | pg_statio_all_indexes                         +
            | pg_statio_all_sequences                       +
            | pg_statio_all_tables                          +
            | pg_statio_sys_indexes                         +
            | pg_statio_sys_sequences                       +
            | pg_statio_sys_tables                          +
            | pg_statio_user_indexes                        +
            | pg_statio_user_sequences                      +
            | pg_statio_user_tables                         +
            | pg_statistic                                  +
            | pg_statistic_ext                              +
            | pg_statistic_ext_data                         +
            | pg_statistic_ext_data_stxoid_inh_index        +
            | pg_statistic_ext_name_index                   +
            | pg_statistic_ext_oid_index                    +
            | pg_statistic_ext_relid_index                  +
            | pg_statistic_relid_att_inh_index              +
            | pg_stats                                      +
            | pg_stats_ext                                  +
            | pg_stats_ext_exprs                            +
            | pg_subscription_rel                           +
            | pg_subscription_rel_srrelid_srsubid_index     +
            | pg_tables                                     +
            | pg_timezone_abbrevs                           +
            | pg_timezone_names                             +
            | pg_toast_1247                                 +
            | pg_toast_1247_index                           +
            | pg_toast_1255                                 +
            | pg_toast_1255_index                           +
            | pg_toast_13800                                +
            | pg_toast_13800_index                          +
            | pg_toast_13805                                +
            | pg_toast_13805_index                          +
            | pg_toast_13810                                +
            | pg_toast_13810_index                          +
            | pg_toast_13815                                +
            | pg_toast_13815_index                          +
            | pg_toast_1417                                 +
            | pg_toast_1417_index                           +
            | pg_toast_1418                                 +
            | pg_toast_1418_index                           +
            | pg_toast_2328                                 +
            | pg_toast_2328_index                           +
            | pg_toast_2600                                 +
            | pg_toast_2600_index                           +
            | pg_toast_2604                                 +
            | pg_toast_2604_index                           +
            | pg_toast_2606                                 +
            | pg_toast_2606_index                           +
            | pg_toast_2609                                 +
            | pg_toast_2609_index                           +
            | pg_toast_2612                                 +
            | pg_toast_2612_index                           +
            | pg_toast_2615                                 +
            | pg_toast_2615_index                           +
            | pg_toast_2618                                 +
            | pg_toast_2618_index                           +
            | pg_toast_2619                                 +
            | pg_toast_2619_index                           +
            | pg_toast_2620                                 +
            | pg_toast_2620_index                           +
            | pg_toast_3079                                 +
            | pg_toast_3079_index                           +
            | pg_toast_3118                                 +
            | pg_toast_3118_index                           +
            | pg_toast_3256                                 +
            | pg_toast_3256_index                           +
            | pg_toast_3350                                 +
            | pg_toast_3350_index                           +
            | pg_toast_3381                                 +
            | pg_toast_3381_index                           +
            | pg_toast_3394                                 +
            | pg_toast_3394_index                           +
            | pg_toast_3429                                 +
            | pg_toast_3429_index                           +
            | pg_toast_3456                                 +
            | pg_toast_3456_index                           +
            | pg_toast_3466                                 +
            | pg_toast_3466_index                           +
            | pg_toast_3596                                 +
            | pg_toast_3596_index                           +
            | pg_toast_3600                                 +
            | pg_toast_3600_index                           +
            | pg_toast_6106                                 +
            | pg_toast_6106_index                           +
            | pg_toast_826                                  +
            | pg_toast_826_index                            +
            | pg_transform                                  +
            | pg_transform_oid_index                        +
            | pg_transform_type_lang_index                  +
            | pg_trigger                                    +
            | pg_trigger_oid_index                          +
            | pg_trigger_tgconstraint_index                 +
            | pg_trigger_tgrelid_tgname_index               +
            | pg_ts_config                                  +
            | pg_ts_config_cfgname_index                    +
            | pg_ts_config_map                              +
            | pg_ts_config_map_index                        +
            | pg_ts_config_oid_index                        +
            | pg_ts_dict                                    +
            | pg_ts_dict_dictname_index                     +
            | pg_ts_dict_oid_index                          +
            | pg_ts_parser                                  +
            | pg_ts_parser_oid_index                        +
            | pg_ts_parser_prsname_index                    +
            | pg_ts_template                                +
            | pg_ts_template_oid_index                      +
            | pg_ts_template_tmplname_index                 +
            | pg_type                                       +
            | pg_type_oid_index                             +
            | pg_type_typname_nsp_index                     +
            | pg_user                                       +
            | pg_user_mapping                               +
            | pg_user_mapping_oid_index                     +
            | pg_user_mapping_user_server_index             +
            | pg_user_mappings                              +
            | pg_views                                      +
            | referential_constraints                       +
            | role_column_grants                            +
            | role_routine_grants                           +
            | role_table_grants                             +
            | role_udt_grants                               +
            | role_usage_grants                             +
            | routine_column_usage                          +
            | routine_privileges                            +
            | routine_routine_usage                         +
            | routine_sequence_usage                        +
            | routine_table_usage                           +
            | routines                                      +
            | schemata                                      +
            | sequences                                     +
            | sql_features                                  +
            | sql_implementation_info                       +
            | sql_parts                                     +
            | sql_sizing                                    +
            | table_constraints                             +
            | table_privileges                              +
            | tables                                        +
            | transforms                                    +
            | triggered_update_columns                      +
            | triggers                                      +
            | udt_privileges                                +
            | usage_privileges                              +
            | user_defined_types                            +
            | user_mapping_options                          +
            | user_mappings                                 +
            | view_column_usage                             +
            | view_routine_usage                            +
            | view_table_usage                              +
            | views
 pg_global  | pg_auth_members                               +
            | pg_auth_members_grantor_index                 +
            | pg_auth_members_member_role_index             +
            | pg_auth_members_oid_index                     +
            | pg_auth_members_role_member_index             +
            | pg_authid                                     +
            | pg_authid_oid_index                           +
            | pg_authid_rolname_index                       +
            | pg_database                                   +
            | pg_database_datname_index                     +
            | pg_database_oid_index                         +
            | pg_db_role_setting                            +
            | pg_db_role_setting_databaseid_rol_index       +
            | pg_parameter_acl                              +
            | pg_parameter_acl_oid_index                    +
            | pg_parameter_acl_parname_index                +
            | pg_replication_origin                         +
            | pg_replication_origin_roiident_index          +
            | pg_replication_origin_roname_index            +
            | pg_shdepend                                   +
            | pg_shdepend_depender_index                    +
            | pg_shdepend_reference_index                   +
            | pg_shdescription                              +
            | pg_shdescription_o_c_index                    +
            | pg_shseclabel                                 +
            | pg_shseclabel_object_index                    +
            | pg_subscription                               +
            | pg_subscription_oid_index                     +
            | pg_subscription_subname_index                 +
            | pg_tablespace                                 +
            | pg_tablespace_oid_index                       +
            | pg_tablespace_spcname_index                   +
            | pg_toast_1213                                 +
            | pg_toast_1213_index                           +
            | pg_toast_1260                                 +
            | pg_toast_1260_index                           +
            | pg_toast_1262                                 +
            | pg_toast_1262_index                           +
            | pg_toast_2396                                 +
            | pg_toast_2396_index                           +
            | pg_toast_2964                                 +
            | pg_toast_2964_index                           +
            | pg_toast_3592                                 +
            | pg_toast_3592_index                           +
            | pg_toast_6000                                 +
            | pg_toast_6000_index                           +
            | pg_toast_6100                                 +
            | pg_toast_6100_index                           +
            | pg_toast_6243                                 +
            | pg_toast_6243_index
(3 строки)
